Type,Name,lon,lat
T,Tortuguero2,-92.12258437,17.52145722
T,Tortuguero2,-92.11605061,17.51399006
T,Tortuguero2,-92.10811675,17.50582285
T,Tortuguero2,-92.10064959,17.50092253
T,Tortuguero2,-92.09364913,17.49485546
T,Tortuguero2,-92.09084894,17.49135523
T,Tortuguero2,-92.0810483,17.4869216
T,Tortuguero2,-92.07078095,17.48458811
T,Tortuguero2,-92.05841347,17.48505481
T,Tortuguero2,-92.05257975,17.48458811
T,Tortuguero2,-92.04394585,17.48365472
T,Tortuguero3,-92.03857882,17.48248797
T,Tortuguero4,-92.0341452,17.48178793
T,Tortuguero5,-92.02854483,17.48062118
T,Tortuguero6,-92.01827748,17.48062118
T,Tortuguero7,-92.00287647,17.47525416
T,Nazareth,-92.17193763,16.93773533
T,Nazareth,-92.16587056,16.93400175
T,Nazareth,-92.15957015,16.93073487
T,Nazareth,-92.15583657,16.92886808
T,Nazareth,-92.14300239,16.92233431
T,Nazareth,-92.13670197,16.91300036
T,Nazareth,-92.13460183,16.90856674
T,Nazareth,-92.1315683,16.90483316
T,Nazareth,-92.12666798,16.89899944
T,Nazareth,-92.12223435,16.89293237
T,Nazareth,-92.11896747,16.88756535
T,Nazareth,-92.11476719,16.88173163
T,Nazareth,-92.11080026,16.87543121
T,Nazareth,-92.10846677,16.8695975
T,Nazareth,-92.10776673,16.86399713
T,Nazareth,-92.10659998,16.8495295
T,Nazareth,-92.10846677,16.84416248
T,Nazareth,-92.11383379,16.83739537
T,Nazareth,-92.11826742,16.82946151
T,Nazareth,-92.11966751,16.82432784
T,Nazareth,-92.12106761,16.81942752
T,Nazareth,-92.12083426,16.81499389
S,Tuxtla-Malpaso2,-92.30844665,16.4598371
S,Tuxtla-Malpaso2,-92.29537912,16.46077049
S,Tuxtla-Malpaso2,-92.28604517,16.4603038
S,Tuxtla-Malpaso2,-92.27391103,16.4598371
S,Tuxtla-Malpaso2,-92.26784397,16.4593704
S,Tuxtla-Malpaso2,-92.2608435,16.45703691
S,Tuxtla-Malpaso2,-92.25524313,16.45703691
S,Tuxtla-Malpaso3,-92.21650724,16.45377003
S,Tuxtla-Malpaso3,-92.20437311,16.45377003
S,Tuxtla-Malpaso3,-92.19223897,16.45423673
S,Tuxtla-Malpaso3,-92.18197163,16.45190324
S,Tuxtla-Malpaso3,-92.17123759,16.45377003
S,Tuxtla-Malpaso3,-92.15770336,16.45377003
S,Tuxtla-Malpaso3,-92.15396978,16.45377003
S,Tuxtla-Malpaso4,-92.16283703,16.44536948
S,Tuxtla-Malpaso4,-92.14650262,16.44303599
S,Tuxtla-Malpaso4,-92.13250169,16.44303599
S,Tuxtla-Malpaso4,-92.12596793,16.44210259
S,Tuxtla-Malpaso4,-92.11476719,16.4402358
S,Tuxtla-Malpaso4,-92.10730003,16.4402358
S,Tuxtla-Malpaso4,-92.09889948,16.4402358
S,Tuxtla-Malpaso4,-92.08583195,16.43976911
S,Tuxtla-Malpaso4,-92.076498,16.4411692
S,Tuxtla-Malpaso4,-92.06109698,16.4402358
S,Tuxtla-Malpaso4,-92.04242908,16.4411692
S,Tuxtla-Malpaso4,-92.0190942,16.43836901
S,Tuxtla-Malpaso4,-91.99295914,16.43743562
S,Tuxtla-Malpaso4,-91.97989162,16.43650222
S,Tuxtla-Malpaso4,-91.96309051,16.43790232
S,Tuxtla-Malpaso4,-91.94675609,16.43696892
S,Tuxtla-Malpaso4,-91.93368856,16.43743562
S,Tuxtla-Malpaso4,-91.91828755,16.43930241
S,Tuxtla-Malpaso4,-91.90615341,16.4411692
S,Tuxtla-Malpaso5,-91.79227922,16.43440209
S,Tuxtla-Malpaso5,-91.78481206,16.43346869
S,Tuxtla-Malpaso5,-91.78084514,16.43440209
S,Tuxtla-Malpaso5,-91.77431137,16.43533548
S,Tuxtla-Malpaso5,-91.76567747,16.43650222
S,Tuxtla-Malpaso5,-91.7591437,16.43860236
S,Tuxtla-Malpaso5,-91.75354333,16.4407025
S,Tuxtla-Malpaso5,-91.74887636,16.44256929
S,Tuxtla-Malpaso5,-91.74654287,16.44373604
S,Tuxtla-Malpaso5,-91.74234259,16.44373604
S,Tuxtla-Malpaso5,-91.73884236,16.44350269
S,Tuxtla-Malpaso5,-91.73534213,16.44560283
S,Tuxtla-Malpaso5,-91.7313752,16.44723627
S,Tuxtla-Malpaso5,-91.72834167,16.44816966
S,Tuxtla-Malpaso5,-91.723208,16.45166989
S,Tuxtla-Malpaso5,-91.71667423,16.4512032
S,Tuxtla-Malpaso5,-91.70780698,16.45190324
S,Tuxtla-Malpaso5,-91.70103986,16.45213659
S,Tuxtla-Malpaso5,-91.69637289,16.45260329
S,Tuxtla-Malpaso5,-91.68867238,16.45213659
S,Tuxtla-Malpaso5,-91.68377206,16.45306999
S,Tuxtla-Malpaso5,-91.67723829,16.45447008
S,Tuxtla-Malpaso5,-91.66510416,16.45517012
S,Tuxtla-Malpaso5,-91.65903709,16.45540347
S,Tuxtla-Malpaso5,-91.65180328,16.45633687
S,Tuxtla-Malpaso5,-91.64456947,16.45680357
S,Tuxtla-Malpaso5,-91.6385024,16.45703691
S,Tuxtla-Malpaso5,-91.63220198,16.45610352
S,Tuxtla-Malpaso5,-91.62426813,16.45797031
S,Tuxtla-Malpaso5,-91.61680097,16.4603038
S,Tuxtla-Malpaso5,-91.61306739,16.46147054
S,Tuxtla-Malpaso5,-91.6006999,16.46403738
S,Tuxtla-Malpaso6,-91.8802517,16.42763497
S,Tuxtla-Malpaso6,-91.86811757,16.42576818
S,Tuxtla-Malpaso6,-91.85505004,16.42576818
S,Tuxtla-Malpaso6,-91.84431599,16.43463543
S,Tuxtla-Malpaso6,-91.83498204,16.43883571
S,Motagua-Polochic1,-92.59779909,15.61744813
S,Motagua-Polochic1,-92.57493092,15.61464794
S,Motagua-Polochic1,-92.54552897,15.61184776
S,Motagua-Polochic1,-92.52546098,15.61138106
S,Motagua-Polochic1,-92.50772648,15.61231446
S,Motagua-Polochic1,-92.48999197,15.61371455
S,Motagua-Polochic1,-92.44192213,15.60951427
S,Motagua-Polochic1,-92.42792121,15.60764748
S,Motagua-Polochic1,-92.40551973,15.6039139
S,Motagua-Polochic1,-92.39011871,15.6034472
S,Motagua-Polochic1,-92.37005072,15.60018032
S,Motagua-Polochic1,-92.34531575,15.59784683
S,Motagua-Polochic2,-92.40598642,15.61674808
S,Motagua-Polochic2,-92.38825192,15.61254781
S,Motagua-Polochic2,-92.37705118,15.61208111
S,Motagua-Polochic2,-92.37145081,15.61021432
S,Motagua-Polochic2,-92.36071677,15.60694744
S,Motagua-Polochic2,-92.354183,15.60554734
S,Motagua-Polochic2,-92.33878199,15.60648074
S,Motagua-Polochic2,-92.32524776,15.60648074
S,Motagua-Polochic2,-92.31591381,15.60694744
S,Motagua-Polochic2,-92.30564646,15.60461395
S,Motagua-Polochic2,-92.29024545,15.60414725
S,Motagua-Polochic2,-92.2804448,15.60134707
S,Motagua-Polochic2,-92.26644387,15.59901358
S,Motagua-Polochic2,-92.25290965,15.59901358
S,Motagua-Polochic2,-92.23237496,15.59528
S,Motagua-Polochic2,-92.22070752,15.59014633
S,Motagua-Polochic2,-92.20717329,15.58921293
S,Motagua-Polochic2,-92.19037218,15.58781284
S,Motagua-Polochic2,-92.16703731,15.58547935
S,Motagua-Polochic2,-92.14603592,15.57941228
S,Motagua-Polochic2,-92.11523389,15.57194512
S,Motagua-Polochic2,-92.09189901,15.56447796
S,Motagua-Polochic2,-92.06763074,15.56167778
S,Motagua-Polochic2,-92.05549661,15.56167778
S,Motagua-Polochic2,-92.04149568,15.56167778
S,Motagua-Polochic2,-92.02842815,15.56167778
